name,weight_units,weight_max,price_min,price_max,count_max
andohaw,kg,30.0,120.0,150.0,
Tangigue,kg,15.0,200.0,300.0,5.0
Mamsa,kg,5.0,200.0,300.0,20.0
Lali,kg,2.0,100.0,150.0,2.0
Andohao,kg,30.0,120.0,150.0,
TAbangko,kg,10.0,50.0,150.0,50.0
Actinopyga lecanora,kg,50.0,20000.0,200000.0,50.0
Mangampahan,kg,5.0,200.0,300.0,3.0
Chlorurus bowersi,kg,100.0,20000.0,30000.0,80.0
Choerodon schoenleinii,kg,10.0,10000.0,20000.0,30.0
Baho ulo,kg,6.0,200.0,250.0,
Lethrinus atkinsoni,kg,250.0,5000.0,20000.0,180.0
Scolopsis temporalis,kg,100.0,20000.0,30000.0,51.0
Psammoperca waigiensis,kg,100.0,20000.0,30000.0,150.0
Scarus niger,kg,15.0,10000.0,30000.0,49.0
Abalistes stellaris,kg,100.0,20000.0,30000.0,68.0
Caesio xanthonota,kg,100.0,20000.0,30000.0,90.0
Acanthurus lineatus,kg,100.0,20000.0,30000.0,63.0
Bonito,lbs,60.0,20.0,30.0,
Fish,kg,5.0,200.0,300.0,20.0
crabs (Portunus pelagicus),kg,15.0,250.0,500.0,40.0
Crabs,kg,15.0,250.0,500.0,40.0
Pomadasys argenteus,kg,10.0,30000.0,40000.0,30.0
Carangoides hedlandensis,kg,10.0,35000.0,50000.0,30.0
Aphareus rutilans,kg,50.0,5000.0,20000.0,30.0
Scarus spinus,kg,10.0,25000.0,40000.0,30.0
Acanthurus xanthopterus,kg,55.0,10000.0,30000.0,45.0
fish,kg,10.0,50.0,150.0,50.0
Strongylura leiura,kg,10.0,5000.0,20000.0,30.0
Priacanthus macracanthus,kg,30.0,10000.0,20000.0,1000.0
Taeniurops meyeni,kg,60.0,5000.0,30000.0,75.0
Setipinna tenuifilis,kg,100.0,20000.0,30000.0,50.0
Bohadschia argus,kg,10.0,20000.0,30000.0,30.0
Stichopus variegatus,kg,10.0,10000.0,20000.0,30.0
Etelis coruscans,kg,400.0,10000.0,40000.0,92.0
Etelis radiosus,kg,10.0,15000.0,50000.0,30.0
